freguesia;dicofre;rendimento bruto;dicofre_freg
Abade de Neiva;112030201;21133;030201
Aborim;112030202;14654;030202
Adães;112030203;16785;030203
Airó;112030205;15874;030205
Aldreu;112030206;15158;030206
Alvelos;112030208;15183;030208
Arcozelo;112030209;16377;030209
Areias;112030210;15940;030210
Balugães;112030212;15722;030212
Barcelinhos;112030213;21588;030213
Barqueiros;112030215;14212;030215
Cambeses;112030216;16940;030216
Carapeços;112030218;15873;030218
Carvalhal;112030220;14982;030220
Carvalhas;112030221;12446;030221
Cossourado;112030224;14565;030224
Cristelo;112030228;13510;030228
Fornelos;112030234;13525;030234
Fragoso;112030235;15995;030235
Galegos (Santa Maria);112030268;15140;030268
Galegos (São Martinho);112030272;14030;030272
Gilmonde;112030237;16207;030237
Lama;112030242;14740;030242
Lijó;112030243;15693;030243
Macieira de Rates;112030244;14868;030244
Manhente;112030245;16366;030245
Martim;112030247;13898;030247
Moure;112030252;16382;030252
Oliveira;112030254;14136;030254
Palme;112030255;13776;030255
Panque;112030256;11901;030256
Paradela;112030257;13625;030257
Pereira;112030259;15655;030259
Perelhal;112030260;16048;030260
Pousa;112030261;14553;030261
Remelhe;112030263;15908;030263
Rio Covo (Santa Eugénia);112030265;16561;030265
Roriz;112030264;14204;030264
Silva;112030279;15509;030279
Tamel (São Veríssimo);112030277;16767;030277
Ucha;112030282;14850;030282
União das freguesias de Alheira e Igreja Nova;112030290;15169;030290
União das freguesias de Alvito (São Pedro e São Martinho) e Couto;112030291;15240;030291
União das freguesias de Areias de Vilar e Encourados;112030292;14971;030292
União das freguesias de Barcelos, Vila Boa e Vila Frescainha (São Martinho e São Pedro);112030293;21135;030293
União das freguesias de Campo e Tamel (São Pedro Fins);112030294;16048;030294
União das freguesias de Carreira e Fonte Coberta;112030295;16364;030295
União das freguesias de Chorente, Góios, Courel, Pedra Furada e Gueral;112030296;14068;030296
União das freguesias de Creixomil e Mariz;112030297;16559;030297
União das freguesias de Durrães e Tregosa;112030298;15610;030298
União das freguesias de Gamil e Midões;112030299;16897;030299
União das freguesias de Milhazes, Vilar de Figos e Faria;1120302FA;15134;0302FA
União das freguesias de Negreiros e Chavão;1120302FB;14794;0302FB
União das freguesias de Quintiães e Aguiar;1120302FC;14663;0302FC
União das freguesias de Sequeade e Bastuço (São João e Santo Estevão);1120302FD;14426;0302FD
União das freguesias de Silveiros e Rio Covo (Santa Eulália);1120302FE;15632;0302FE
União das freguesias de Tamel (Santa Leocádia) e Vilar do Monte;1120302FF;14480;0302FF
União das freguesias de Viatodos, Grimancelos, Minhotães e Monte de Fralães;1120302FG;17625;0302FG
União das freguesias de Vila Cova e Feitos;1120302FH;14711;0302FH
Várzea;112030283;16333;030283
Vila Seca;112030287;14948;030287
Adaúfe;112030301;17425;030301
Braga (São Vicente);112030349;21491;030349
Braga (São Vítor);112030351;21181;030351
Espinho;112030312;16120;030312
Esporões;112030313;18799;030313
Figueiredo;112030315;15825;030315
Gualtar;112030319;24614;030319
Lamas;112030322;16270;030322
Mire de Tibães;112030325;18140;030325
Padim da Graça;112030330;16082;030330
Palmeira;112030331;21274;030331
Pedralva;112030334;14117;030334
Priscos;112030336;18023;030336
Ruilhe;112030338;18873;030338
Sequeira;112030354;17265;030354
Sobreposta;112030355;15903;030355
Tadim;112030356;19811;030356
Tebosa;112030357;17694;030357
União das freguesias de Arentim e Cunha;112030363;18122;030363
União das freguesias de Braga (Maximinos, Sé e Cividade);112030364;18585;030364
União das freguesias de Braga (São José de São Lázaro e São João do Souto);112030365;20265;030365
União das freguesias de Cabreiros e Passos (São Julião);112030366;16872;030366
União das freguesias de Celeirós, Aveleda e Vimieiro;112030367;18992;030367
União das freguesias de Crespos e Pousada;112030368;16207;030368
União das freguesias de Escudeiros e Penso (Santo Estêvão e São Vicente);112030369;17395;030369
União das freguesias de Este (São Pedro e São Mamede);112030370;22368;030370
União das freguesias de Ferreiros e Gondizalves;112030371;19619;030371
União das freguesias de Guisande e Oliveira (São Pedro);112030372;17330;030372
União das freguesias de Lomar e Arcos;112030373;19334;030373
União das freguesias de Merelim (São Paio), Panoias e Parada de Tibães;112030374;19093;030374
União das freguesias de Merelim (São Pedro) e Frossos;112030375;22742;030375
União das freguesias de Morreira e Trandeiras;112030376;17070;030376
União das freguesias de Nogueira, Fraião e Lamaçães;112030377;28811;030377
União das freguesias de Nogueiró e Tenões;112030378;34461;030378
União das freguesias de Real, Dume e Semelhe;112030379;22197;030379
União das freguesias de Santa Lucrécia de Algeriz e Navarra;112030380;18486;030380
União das freguesias de Vilaça e Fradelos;112030381;17428;030381
Aldão;119030801;19799;030801
Azurém;119030804;20315;030804
Barco;119030806;15220;030806
Brito;119030807;17196;030807
Caldelas;119030808;16831;030808
Candoso (São Martinho);119030857;16606;030857
Costa;119030812;28811;030812
Creixomil;119030813;21526;030813
Fermentões;119030815;18016;030815
Gonça;119030820;12320;030820
Gondar;119030821;15475;030821
Guardizela;119030823;15465;030823
Infantas;119030824;14490;030824
Longos;119030827;15457;030827
Lordelo;119030828;15771;030828
Mesão Frio;119030830;19340;030830
Moreira de Cónegos;119030831;15359;030831
Nespereira;119030832;15887;030832
Pencelo;119030835;17131;030835
Pinheiro;119030836;16295;030836
Polvoreira;119030837;14557;030837
Ponte;119030838;16841;030838
Prazins (Santa Eufémia);119030842;15113;030842
Ronfe;119030840;16515;030840
Sande (São Martinho);119030858;14428;030858
São Torcato;119030865;15732;030865
Selho (São Cristóvão);119030850;15010;030850
Selho (São Jorge);119030854;17840;030854
Serzedelo;119030866;14858;030866
Silvares;119030868;17915;030868
União das freguesias de Abação e Gémeos;119030875;14808;030875
União das freguesias de Airão Santa Maria, Airão São João e Vermil;119030876;15293;030876
União das freguesias de Arosa e Castelões;119030877;13422;030877
União das freguesias de Atães e Rendufe;119030878;14817;030878
União das freguesias de Briteiros Santo Estêvão e Donim;119030879;14257;030879
União das freguesias de Briteiros São Salvador e Briteiros Santa Leocádia;119030880;14532;030880
União das freguesias de Candoso São Tiago e Mascotelos;119030881;19285;030881
União das freguesias de Conde e Gandarela;119030882;15518;030882
União das freguesias de Leitões, Oleiros e Figueiredo;119030883;15805;030883
União das freguesias de Oliveira, São Paio e São Sebastião;119030884;20442;030884
União das freguesias de Prazins Santo Tirso e Corvite;119030885;16740;030885
União das freguesias de Sande São Lourenço e Balazar;119030886;15163;030886
União das freguesias de Sande Vila Nova e Sande São Clemente;119030887;14878;030887
União das freguesias de Selho São Lourenço e Gominhães;119030888;15476;030888
União das freguesias de Serzedo e Calvos;119030889;13825;030889
União das freguesias de Souto Santa Maria, Souto São Salvador e Gondomar;119030890;14295;030890
União das freguesias de Tabuadelo e São Faustino;119030891;14130;030891
Urgezes;119030871;21072;030871
Bairro;119031204;16347;031204
Brufe;119031206;17662;031206
Castelões;119031210;15340;031210
Cruz;119031212;19974;031212
Delães;119031213;15375;031213
Fradelos;119031215;16975;031215
Gavião;119031216;20127;031216
Joane;119031219;17329;031219
Landim;119031221;16011;031221
Louro;119031223;19371;031223
Lousado;119031224;19421;031224
Mogege;119031225;16451;031225
Nine;119031227;18078;031227
Oliveira (Santa Maria);119031239;15358;031239
Oliveira (São Mateus);119031242;15620;031242
Pedome;119031230;14834;031230
Pousada de Saramagos;119031232;15927;031232
Requião;119031233;17523;031233
Riba de Ave;119031234;16627;031234
Ribeirão;119031235;17548;031235
União das freguesias de Antas e Abade de Vermoim;119031250;22487;031250
União das freguesias de Arnoso (Santa Maria e Santa Eulália) e Sezures;119031251;15981;031251
União das freguesias de Avidos e Lagoa;119031252;17549;031252
União das freguesias de Carreira e Bente;119031253;14982;031253
União das freguesias de Esmeriz e Cabeçudos;119031254;19233;031254
União das freguesias de Gondifelos, Cavalões e Outiz;119031255;16122;031255
União das freguesias de Lemenhe, Mouquim e Jesufrei;119031256;17296;031256
União das freguesias de Ruivães e Novais;119031257;16495;031257
União das freguesias de Seide;119031258;17265;031258
União das freguesias de Vale (São Cosme), Telhado e Portela;119031259;16153;031259
União das freguesias de Vila Nova de Famalicão e Calendário;119031260;20776;031260
Vale (São Martinho);119031241;18992;031241
Vermoim;119031247;16758;031247
Vilarinho das Cambas;119031249;15102;031249
